fish,weigth,len,hgt,wdt,eye,head,stdlen,forklen,sidelen,cont1,cont2,area1,area2,sidehgt,toplen,topwdt,eyedst,area3,area4
82,112.82,23.40,4.40,3.60,1.24,6.59,20.52,23.10,24.49,54.31,56.62,72.59,83.24,4.94,23.73,2.83,2.03,44.10,45.65
83,152.17,24.50,4.80,3.10,1.18,6.03,21.12,23.29,24.65,54.74,55.93,78.60,87.63,5.19,25.45,3.16,2.22,53.85,56.92
84,108.76,22.40,4.30,2.70,1.18,5.57,19.42,21.26,22.30,49.68,50.70,65.54,71.71,4.62,23.76,2.97,1.83,39.22,42.06
85,113.70,23.20,4.30,2.60,1.23,5.95,20.27,22.07,23.26,51.72,52.41,67.57,74.95,4.71,23.47,2.83,1.98,39.83,43.16
86,106.23,22.10,4.30,2.70,1.18,5.80,18.75,20.86,22.03,49.15,50.44,59.88,68.44,4.63,23.60,2.92,1.98,36.12,37.87
87,116.59,23.60,4.40,2.50,1.23,5.94,20.22,22.25,23.48,52.09,52.93,68.01,76.04,4.62,23.12,2.64,1.79,41.54,42.81
88,127.74,23.30,4.50,2.80,1.13,5.80,19.34,21.66,22.43,49.12,50.36,64.95,71.58,4.57,22.90,2.81,1.99,36.99,40.42
89,112.88,23.40,4.30,2.70,1.19,6.24,20.82,23.34,24.48,54.66,55.95,73.92,83.20,4.90,24.05,3.02,2.03,46.34,51.14
90,100.09,21.80,4.20,2.60,1.13,5.70,18.67,20.84,21.97,49.96,50.72,61.18,70.06,4.57,22.22,3.02,1.70,44.37,47.39
91,100.78,22.60,4.20,2.50,1.08,5.45,18.42,20.54,21.62,48.40,49.71,68.69,78.22,4.32,23.75,2.84,1.86,34.45,36.82
92,120.94,22.90,4.60,2.90,1.27,5.85,19.33,21.87,22.96,52.30,53.81,67.12,80.15,4.76,24.45,3.07,2.03,39.61,41.74
93,93.48,23.00,4.10,2.70,1.17,5.95,18.60,21.08,22.00,48.79,50.41,55.62,62.95,3.92,23.55,2.99,2.09,41.94,48.41
94,107.22,22.90,4.30,2.60,1.09,5.75,19.31,21.70,22.70,51.62,52.96,64.16,76.34,4.48,24.61,3.02,1.98,43.95,45.30
95,106.53,22.50,4.50,2.70,1.18,5.85,19.25,21.28,22.39,50.80,52.05,62.33,70.94,4.62,22.91,2.93,2.03,40.69,44.19
96,164.11,26.00,4.90,3.00,1.27,6.55,22.21,24.66,25.22,59.27,60.41,84.94,98.43,5.20,28.04,3.46,2.42,57.39,59.02
97,106.62,22.80,4.30,2.60,1.24,5.94,20.52,22.65,23.99,54.04,54.59,71.38,81.53,4.70,23.31,2.69,1.89,37.07,39.25
98,155.39,23.70,4.70,3.30,1.19,6.58,21.17,23.55,24.51,55.37,60.05,80.33,90.22,5.06,24.61,3.49,2.11,47.68,51.34
99,140.87,22.50,4.50,2.80,1.07,5.57,19.61,21.47,22.38,51.26,52.27,71.00,80.02,5.10,23.18,3.08,1.91,39.75,42.58
100,201.81,25.60,5.40,3.50,1.25,6.50,22.46,24.65,25.29,53.40,54.21,92.81,101.88,5.88,25.19,3.50,2.23,53.68,54.97
101,177.49,24.80,5.20,3.30,1.23,6.17,21.96,23.70,24.78,55.26,55.98,88.41,96.26,5.79,23.83,3.18,2.12,53.34,56.34
102,163.72,23.40,5.10,3.50,1.24,5.97,18.47,20.79,21.40,55.63,56.54,68.78,77.12,5.09,24.40,3.60,2.13,46.53,51.50
103,141.35,23.10,4.80,3.00,1.22,5.68,20.40,22.48,23.35,51.91,53.30,74.30,81.99,5.19,22.72,3.04,1.88,40.74,42.94
104,146.18,23.40,4.70,3.00,1.23,5.78,20.84,22.81,24.03,51.14,52.78,75.84,84.77,5.30,23.44,3.13,2.03,44.35,47.88
105,203.77,25.60,5.70,3.60,1.17,6.15,21.19,23.57,24.42,55.53,56.97,87.34,96.78,5.66,28.43,3.87,2.28,65.58,69.06
106,185.30,24.50,5.20,3.40,1.18,6.20,21.74,23.59,24.81,55.95,56.59,90.63,99.69,5.93,24.77,3.65,2.00,52.33,53.82
107,159.15,23.70,4.90,3.30,1.29,6.05,21.47,23.10,24.29,54.22,55.72,84.49,91.30,5.59,24.85,3.41,2.13,46.61,52.88
108,152.63,23.10,5.10,3.50,1.09,5.71,20.23,21.85,22.83,50.73,51.31,76.31,82.59,5.36,22.84,3.35,2.12,47.34,50.23
109,139.11,22.80,4.70,2.90,1.24,5.88,20.52,22.30,23.19,51.17,52.61,75.42,82.42,5.29,23.46,3.07,2.08,44.85,46.60
110,144.79,22.60,4.90,3.40,1.29,5.64,19.98,22.16,23.15,52.20,52.99,84.39,93.30,5.59,22.41,3.23,1.87,44.19,47.12
111,159.48,23.50,5.20,3.30,1.24,6.35,21.00,23.18,24.14,53.91,55.48,82.74,91.82,5.79,24.71,3.58,2.11,51.33,54.80
112,154.56,23.20,4.80,3.10,1.15,5.85,19.21,21.29,22.51,50.43,51.46,69.93,77.75,5.17,23.89,3.26,2.09,48.79,52.50
113,157.10,24.90,4.80,3.10,1.23,6.32,22.00,23.99,25.14,55.31,57.71,82.16,92.00,5.38,23.96,2.82,2.07,41.80,45.12
114,171.25,24.30,5.20,3.40,1.22,5.63,20.66,22.49,23.40,51.64,52.83,79.60,86.98,5.50,24.06,3.14,2.01,47.73,50.40
115,147.59,23.90,4.80,3.20,1.23,5.95,21.61,23.56,24.55,54.41,56.16,80.05,88.45,5.25,22.71,2.93,1.90,42.34,44.85
116,223.13,26.70,5.70,3.80,1.24,6.69,24.45,26.52,27.70,61.03,63.11,106.76,116.04,6.18,26.26,3.43,2.27,57.02,59.60
117,185.61,25.30,5.20,3.50,1.28,6.08,22.96,24.82,25.95,57.64,59.65,90.84,100.91,5.69,23.63,3.15,2.00,47.08,48.19
118,207.01,25.00,5.60,3.60,1.24,5.77,21.15,23.10,24.13,53.15,53.98,84.22,91.17,5.65,25.74,3.71,2.34,60.54,61.44
119,220.95,26.30,5.60,3.60,1.27,6.52,23.64,25.73,26.83,59.92,61.03,103.28,111.65,6.08,26.03,3.65,2.39,58.72,63.73
120,165.38,24.90,5.00,3.20,1.25,6.07,21.03,22.88,24.09,53.72,54.51,77.75,85.28,5.20,24.78,3.21,2.17,48.56,52.51
121,119.19,21.90,4.50,2.90,1.12,5.15,18.56,20.33,21.17,46.59,48.26,59.99,66.61,4.68,22.64,2.80,2.06,39.66,43.41
122,213.32,25.60,5.50,3.60,1.28,7.10,22.73,25.05,26.42,60.11,62.76,97.84,113.01,6.08,27.09,3.93,2.21,64.26,69.19
123,162.70,24.10,5.10,3.40,1.18,6.19,21.06,23.34,24.51,54.97,57.40,83.34,94.22,5.64,23.64,3.28,1.83,46.65,48.97
124,133.91,22.40,4.80,2.90,1.13,5.89,19.66,22.01,22.75,51.50,52.94,73.93,82.90,5.30,22.07,2.88,1.85,38.39,42.45
125,174.02,25.50,5.10,3.30,1.23,6.19,22.88,24.70,26.01,57.60,58.49,88.50,98.70,5.64,26.43,3.33,2.17,53.55,55.40
126,186.21,25.40,5.00,3.30,1.14,6.49,22.67,24.58,25.79,57.32,59.00,90.87,98.73,5.59,26.44,3.39,2.26,56.62,60.28
127,125.98,22.40,4.60,2.90,1.04,5.65,19.61,21.92,22.70,50.70,51.95,70.70,79.27,5.15,21.91,2.90,1.87,38.61,41.29
128,169.61,24.70,5.10,3.30,1.13,5.96,20.44,22.14,23.12,50.67,51.37,69.90,77.67,5.01,22.87,3.15,2.17,45.29,46.20
129,163.22,23.60,5.10,3.20,1.12,6.17,21.33,22.94,24.01,53.67,55.13,83.30,90.40,5.63,24.28,3.16,2.23,49.84,52.36
130,158.01,23.60,5.00,3.30,1.11,5.63,20.00,22.01,22.98,50.92,52.32,74.49,80.18,5.24,24.20,3.39,2.06,50.82,53.73
131,169.00,23.80,5.00,3.40,1.13,5.84,20.29,22.02,23.06,51.51,52.26,74.91,83.59,5.17,23.60,3.30,2.05,46.89,49.20
132,160.17,24.30,5.10,3.10,1.12,6.07,21.57,23.50,24.62,55.05,56.52,82.51,89.27,5.63,24.67,3.26,2.04,49.72,54.54
133,222.98,25.90,5.70,3.70,1.40,6.36,23.32,25.29,26.40,58.91,60.18,102.70,111.10,6.28,25.08,3.67,2.26,56.21,58.35
134,132.60,21.60,4.80,3.20,1.18,6.03,18.74,20.47,21.50,48.27,50.16,69.35,75.73,5.25,20.74,3.48,1.99,43.37,47.61
135,185.46,25.00,5.10,3.50,1.23,6.55,22.67,24.35,25.31,57.60,58.93,92.35,100.24,5.79,26.36,3.43,2.11,56.00,60.57
